Number,Name,Year,Position,Height,Weight,Hometown,Signed By,GP,GS,Comp,Att,Cmp%,Pass_Yds,Pass_TD,Int_off,Rush,Rush_Yds,Yds/Rush,Rush_TD,Rec,Rec_Yds,Yds/Rec,Rec_TD,Tackles,Sacks,Int_def,PD,FF,BK,SFT,FGM,FGA,Long_FG,XPM,XPA,Punts,Yds/Punt,Long_Punt,TB
28,Michael Wolfe,Jr.,DB,"5'11""",203,"Algonac, MI",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0
30,James Little,Fr.,RB,"6'1""",213,"Solon, OH",jvstater1,13,0,0,0,0,0,0,0,7,28,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Rodney Shepherd,Sr.,RB,"6'0""",223,"Charlottesville, VA",jvstater1,15,15,0,0,0,0,0,0,84,352,4.2,10,22,287,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,William Preston,So.,DL,"6'2""",247,"Fort Wayne, IN",jvstater1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Mark Adams,Sr.,LB,"6'3""",210,"Holyoke, MA",jvstater1,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
37,Harvey Garza,Jr.,DB,"6'0""",201,"Hershey, PA",jvstater1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40,Gary Roper,Sr.*,LB,"6'3""",193,"Pittsburgh, PA",jvstater1,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0
43,Donald Brantley,Jr.,DB,"6'4""",194,"Bellaire, OH",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0
45,Jerry Gibbons,Sr.,DB,"5'9""",196,"Lexington, MA",jvstater1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Vincent Richmond,Fr.*,LB,"6'1""",205,"Oak Harbor, OH",jvstater1,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
51,Robert Rodriguez,Jr.,LB,"6'4""",208,"Potsdam, NY",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0
53,Richard Poole,Jr.,LB,"6'2""",207,"Poynette, WI",jvstater1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,Charles Morgan,So.*,DL,"6'4""",316,"Laurel, DE",jvstater1,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
58,James Reid,So.,OL,"6'4""",336,"Wethersfield, CT",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Patrick Glover,Fr.,OL,"6'7""",322,"Geneva, OH",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,John Conklin,So.,OL,"6'3""",301,"Orrville, OH",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Bill Brennan,Fr.*,OL,"6'4""",324,"Perth Amboy, NJ",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Eddie White,Jr.,OL,"6'3""",308,"Buffalo, NY",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Rodney Robinson,Sr.,OL,"6'8""",350,"Stafford, VA",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,David Christie,Sr.,OL,"6'6""",330,"Baltimore, MD",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Eugene Couch,Sr.,OL,"6'3""",304,"Pittsburgh, PA",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Chris McDonald,So.,OL,"6'3""",315,"Pittsburgh, PA",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Shawn Smith,Jr.,WR,"6'3""",212,"Havelock, NC",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,72,842,11.7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Ruben Davis,Sr.*,WR,"6'3""",214,"Sycamore, IL",jvstater1,15,13,0,0,0,0,0,0,0,0,0,0,71,807,11.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Dennis Franklin,Fr.,TE,"6'5""",224,"Greensburg, PA",jvstater1,15,1,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mike Grove,So.,WR,"6'5""",213,"Washburn, MO",jvstater1,14,4,0,0,0,0,0,0,0,0,0,0,19,187,9.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Robert Wright,Jr.,TE,"6'5""",227,"Owosso, MI",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,55,630,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Jason Mills,Fr.,DL,"6'6""",317,"Moweaqua, IL",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,Thomas Henry,Sr.*,TE,"6'4""",203,"Buffalo, NY",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,41,479,11.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,George Williams,Fr.*,LB,"6'4""",242,"Ballston Spa, NY",jvstater1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
94,Steven Fowler,Jr.,DL,"6'8""",315,"Dayton, OH",jvstater1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Ron Edmonds,Sr.,DL,"6'4""",321,"Crestwood, KY",jvstater1,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
98,Richard Valdez,Fr.,DL,"6'4""",310,"Waldorf, MD",jvstater1,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
